epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5945723652839661,0.3665456771850586,0.001,0.5705843567848206,0.6896865367889404
1,0.8162960410118103,0.20527899265289307,0.001,0.5705843567848206,0.6679354310035706
2,0.927480936050415,0.09471432864665985,0.001,0.7367038726806641,0.5760053396224976
3,0.9596747159957886,0.055151280015707016,0.001,0.7662508487701416,0.5238872170448303
4,0.976767361164093,0.03628087416291237,0.001,0.7859488129615784,0.4899933934211731
5,0.9867241978645325,0.02188401110470295,0.001,0.7793828248977661,0.5535083413124084
6,0.9897112250328064,0.018278097733855247,0.001,0.7787262201309204,0.6731066703796387
7,0.990872859954834,0.016892677173018456,0.001,0.753775417804718,0.8268803358078003
8,0.9931961297988892,0.011970700696110725,0.0005,0.7833223938941956,0.9277287125587463
9,0.9948556423187256,0.009191776625812054,0.0005,0.7879185676574707,0.9592631459236145
10,0.995187520980835,0.008230657316744328,0.0005,0.7544320225715637,1.0303335189819336
11,0.9953534603118896,0.007294594310224056,0.0005,0.753775417804718,1.0744553804397583
12,0.9955193996429443,0.007102490868419409,0.0005,0.7596848607063293,1.0751674175262451
13,0.9965150952339172,0.006481432821601629,0.00025,0.7616546154022217,1.0882339477539062
14,0.9961832165718079,0.005862685851752758,0.00025,0.7616546154022217,1.0937259197235107
